YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2021,6037800104,Census Tract 8001.04,Topanga,Los Angeles County,California,Topanga,1510.0,847.0,3501.0,,3501.0,,Not available. Exceeds $3500!,Not available. Exceeds $3500!,$1510
2021,6037800506,Census Tract 8005.06,Topanga,Los Angeles County,California,Topanga,3081.0,2538.0,3501.0,,3501.0,,Not available. Exceeds $3500!,Not available. Exceeds $3500!,$3081
2022,6037800101,Census Tract 8001.01,Topanga,Los Angeles County,California,Topanga,3092.0,1645.0,3370.0,367.0,3501.0,,$3370,Not available. Exceeds $3500!,$3092
2022,6037800103,Census Tract 8001.03,Topanga,Los Angeles County,California,Topanga,,,,,3328.0,225.0,Not Available!,$3328,Not Available!
2022,6037800104,Census Tract 8001.04,Topanga,Los Angeles County,California,Topanga,2308.0,1484.0,3501.0,,3501.0,,Not available. Exceeds $3500!,Not available. Exceeds $3500!,$2308
2022,6037800506,Census Tract 8005.06,Topanga,Los Angeles County,California,Topanga,,,3444.0,479.0,3501.0,,$3444,Not available. Exceeds $3500!,Not Available!
2023,6037800101,Census Tract 8001.01,Topanga,Los Angeles County,California,Topanga,,,3256.0,1408.0,3501.0,,$3256,Not available. Exceeds $3500!,Not Available!
2023,6037800103,Census Tract 8001.03,Topanga,Los Angeles County,California,Topanga,3040.0,2870.0,3221.0,162.0,3402.0,167.0,$3221,$3402,$3040
2023,6037800104,Census Tract 8001.04,Topanga,Los Angeles County,California,Topanga,2211.0,934.0,3501.0,,3501.0,,Not available. Exceeds $3500!,Not available. Exceeds $3500!,$2211
2023,6037800506,Census Tract 8005.06,Topanga,Los Angeles County,California,Topanga,1714.0,622.0,3477.0,1112.0,3501.0,,$3477,Not available. Exceeds $3500!,$1714
