YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M
2015,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,365.0,171.0,,,1258.0,423.0
2015,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,,,,,,
2015,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,641.0,203.0,1125.0,886.0,1804.0,372.0
2015,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,1225.0,731.0,1654.0,386.0,1827.0,128.0
2015,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,578.0,528.0,,,2137.0,940.0
2015,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,1713.0,511.0,2245.0,364.0,2667.0,274.0
2015,6037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,1727.0,97.0,1983.0,228.0,2420.0,335.0
2015,6037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,1418.0,85.0,1735.0,215.0,2256.0,235.0
2015,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,1639.0,113.0,1919.0,146.0,2253.0,120.0
2015,6037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,1643.0,66.0,1894.0,110.0,2286.0,187.0
2015,6037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,1654.0,1045.0,,,3301.0,958.0
2015,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,,,,,,
2015,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,1616.0,63.0,1775.0,88.0,1934.0,589.0
2015,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,,,1446.0,686.0,1938.0,676.0
2015,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,578.0,528.0,,,2137.0,940.0
2015,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,1024.0,78.0,1285.0,79.0,1546.0,124.0
2015,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,938.0,46.0,1118.0,57.0,1375.0,112.0
2015,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,916.0,45.0,1107.0,63.0,1420.0,104.0
2015,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1029.0,91.0,1208.0,84.0,1469.0,166.0
2015,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,1128.0,72.0,1390.0,98.0,1757.0,168.0
2015,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,1121.0,48.0,1349.0,53.0,1673.0,134.0
2015,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,817.0,76.0,1020.0,286.0,1353.0,183.0
2015,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,845.0,96.0,1070.0,208.0,1404.0,133.0
2015,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,955.0,59.0,1203.0,79.0,1447.0,68.0
2015,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,951.0,31.0,1085.0,40.0,1226.0,36.0
