YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M
2023,6037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,2101.0,52.0,2234.0,35.0,2367.0,17.0
2023,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,,,1662.0,803.0,1831.0,125.0
2023,6037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,1087.0,274.0,,,2969.0,2616.0
2023,6037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,,,,,2463.0,1808.0
2023,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,2882.0,350.0,3501.0,,3501.0,
2023,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,2744.0,353.0,3501.0,,3501.0,
2023,6037800333,Census Tract 8003.33,Agoura Hills,Los Angeles County,California,AgouraHills,2592.0,105.0,2876.0,146.0,3306.0,238.0
2023,6037800334,Census Tract 8003.34,Agoura Hills,Los Angeles County,California,AgouraHills,1620.0,122.0,1825.0,224.0,2150.0,2055.0
2023,6037800335,Census Tract 8003.35,Agoura Hills,Los Angeles County,California,AgouraHills,2406.0,637.0,2764.0,190.0,3230.0,740.0
2023,6037800336,Census Tract 8003.36,Agoura Hills,Los Angeles County,California,AgouraHills,,,3036.0,1517.0,3268.0,233.0
2023,6037800338,Census Tract 8003.38,Agoura Hills,Los Angeles County,California,AgouraHills,3118.0,2366.0,3501.0,,3501.0,
2023,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,1896.0,420.0,2194.0,349.0,2458.0,1375.0
2023,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,3501.0,,3501.0,,3501.0,
2023,6037910814,Census Tract 9108.14,Agua Dulce,Los Angeles County,California,AguaDulce,1087.0,274.0,,,2969.0,2616.0
2023,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,1402.0,146.0,1761.0,124.0,2190.0,226.0
2023,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1499.0,112.0,1755.0,81.0,2038.0,221.0
2023,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,1390.0,56.0,1728.0,111.0,2146.0,117.0
2023,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1622.0,148.0,1969.0,174.0,2341.0,139.0
2023,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,,,1201.0,791.0,1985.0,626.0
2023,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,1507.0,419.0,1750.0,97.0,1993.0,191.0
2023,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,1397.0,79.0,1672.0,75.0,1939.0,76.0
2023,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,1327.0,135.0,1638.0,124.0,1928.0,97.0
2023,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,1450.0,230.0,1718.0,76.0,1954.0,107.0
2023,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,1156.0,144.0,1498.0,273.0,1846.0,164.0
2023,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,1280.0,188.0,1663.0,135.0,2120.0,322.0
2023,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,1414.0,323.0,1842.0,187.0,2374.0,266.0
2023,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,1234.0,595.0,1791.0,265.0,2152.0,301.0
2023,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,1288.0,137.0,1526.0,167.0,1975.0,215.0
2023,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,1617.0,71.0,1886.0,119.0,2210.0,122.0
2023,6037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,1286.0,164.0,1599.0,125.0,1851.0,83.0
2023,6037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,1505.0,127.0,1785.0,75.0,2118.0,126.0
2023,6037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,1288.0,1255.0,1655.0,367.0,2132.0,356.0
2023,6037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,1359.0,355.0,1828.0,249.0,2221.0,217.0
2023,6037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,1600.0,120.0,1913.0,176.0,2567.0,406.0
2023,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,1875.0,633.0,2478.0,482.0,2878.0,897.0
2023,6037603706,Census Tract 6037.06,Alondra Park,Los Angeles County,California,AlondraPark,1431.0,120.0,1668.0,75.0,1886.0,63.0
2023,6037460101,Census Tract 4601.01,Altadena,Los Angeles County,California,Altadena,1798.0,420.0,2126.0,308.0,2350.0,168.0
2023,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,1623.0,111.0,1874.0,206.0,2687.0,631.0
2023,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,2525.0,1146.0,2741.0,100.0,2957.0,199.0
2023,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,1693.0,238.0,2250.0,559.0,2758.0,208.0
2023,6037460401,Census Tract 4604.01,Altadena,Los Angeles County,California,Altadena,1639.0,232.0,1962.0,275.0,2434.0,335.0
2023,6037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,1588.0,163.0,1887.0,621.0,3205.0,150.0
2023,6037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,1123.0,476.0,1729.0,149.0,2169.0,436.0
2023,6037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,,,3036.0,1295.0,3501.0,
2023,6037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,1131.0,566.0,1565.0,993.0,2777.0,319.0
2023,6037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,1764.0,225.0,2259.0,348.0,3457.0,605.0
2023,6037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,1389.0,297.0,1777.0,294.0,2554.0,1417.0
2023,6037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,2139.0,270.0,2537.0,427.0,2995.0,1714.0
2023,6037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,1579.0,133.0,1899.0,181.0,3108.0,1145.0
2023,6037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,1237.0,293.0,1696.0,118.0,1977.0,172.0
2023,6037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,1606.0,143.0,1992.0,145.0,2367.0,98.0
