YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M
2013,6037216100,Census Tract 2161,Los Angeles,Los Angeles County,California,LosAngeles,847.0,231.0,1661.0,309.0,2001.0,
2013,6037216200,Census Tract 2162,Los Angeles,Los Angeles County,California,LosAngeles,1142.0,57.0,1481.0,138.0,2001.0,
2013,6037216300,Census Tract 2163,Los Angeles,Los Angeles County,California,LosAngeles,891.0,145.0,1321.0,71.0,1621.0,208.0
2013,6037216401,Census Tract 2164.01,Los Angeles,Los Angeles County,California,LosAngeles,1116.0,57.0,1378.0,123.0,1794.0,126.0
2013,6037216402,Census Tract 2164.02,Los Angeles,Los Angeles County,California,LosAngeles,1248.0,97.0,1618.0,110.0,1980.0,138.0
2013,6037216700,Census Tract 2167,Los Angeles,Los Angeles County,California,LosAngeles,1014.0,68.0,1268.0,110.0,1659.0,140.0
2013,6037216800,Census Tract 2168,Los Angeles,Los Angeles County,California,LosAngeles,1048.0,190.0,1712.0,129.0,2001.0,
2013,6037216900,Census Tract 2169,Los Angeles,Los Angeles County,California,LosAngeles,935.0,71.0,1179.0,120.0,1610.0,299.0
2013,6037217001,Census Tract 2170.01,Los Angeles,Los Angeles County,California,LosAngeles,1063.0,97.0,1389.0,356.0,1928.0,216.0
2013,6037217002,Census Tract 2170.02,Los Angeles,Los Angeles County,California,LosAngeles,1090.0,94.0,1409.0,134.0,1815.0,107.0
2013,6037217100,Census Tract 2171,Los Angeles,Los Angeles County,California,LosAngeles,834.0,118.0,1082.0,105.0,1559.0,321.0
2013,6037217200,Census Tract 2172,Los Angeles,Los Angeles County,California,LosAngeles,900.0,60.0,1172.0,100.0,1639.0,193.0
2013,6037218110,Census Tract 2181.10,Los Angeles,Los Angeles County,California,LosAngeles,704.0,35.0,861.0,116.0,1072.0,139.0
2013,6037218120,Census Tract 2181.20,Los Angeles,Los Angeles County,California,LosAngeles,633.0,66.0,874.0,73.0,1203.0,89.0
2013,6037218210,Census Tract 2182.10,Los Angeles,Los Angeles County,California,LosAngeles,727.0,107.0,972.0,84.0,1243.0,105.0
2013,6037218220,Census Tract 2182.20,Los Angeles,Los Angeles County,California,LosAngeles,653.0,109.0,985.0,103.0,1224.0,104.0
2013,6037218300,Census Tract 2183,Los Angeles,Los Angeles County,California,LosAngeles,679.0,44.0,934.0,78.0,1254.0,107.0
2013,6037218400,Census Tract 2184,Los Angeles,Los Angeles County,California,LosAngeles,632.0,100.0,908.0,97.0,1127.0,76.0
2013,6037218500,Census Tract 2185,Los Angeles,Los Angeles County,California,LosAngeles,827.0,26.0,924.0,75.0,1325.0,172.0
2013,6037218600,Census Tract 2186,Los Angeles,Los Angeles County,California,LosAngeles,805.0,128.0,1115.0,122.0,1415.0,133.0
2013,6037218701,Census Tract 2187.01,Los Angeles,Los Angeles County,California,LosAngeles,670.0,55.0,814.0,102.0,1053.0,212.0
2013,6037218702,Census Tract 2187.02,Los Angeles,Los Angeles County,California,LosAngeles,582.0,64.0,749.0,163.0,961.0,115.0
2013,6037218800,Census Tract 2188,Los Angeles,Los Angeles County,California,LosAngeles,710.0,141.0,902.0,80.0,1190.0,156.0
2013,6037218900,Census Tract 2189,Los Angeles,Los Angeles County,California,LosAngeles,760.0,53.0,907.0,55.0,1146.0,62.0
2013,6037219010,Census Tract 2190.10,Los Angeles,Los Angeles County,California,LosAngeles,614.0,65.0,815.0,185.0,1057.0,216.0
2013,6037219020,Census Tract 2190.20,Los Angeles,Los Angeles County,California,LosAngeles,560.0,252.0,846.0,90.0,1108.0,136.0
2013,6037219300,Census Tract 2193,Los Angeles,Los Angeles County,California,LosAngeles,659.0,99.0,947.0,80.0,1203.0,117.0
2013,6037219500,Census Tract 2195,Los Angeles,Los Angeles County,California,LosAngeles,795.0,322.0,983.0,72.0,1136.0,70.0
2013,6037219700,Census Tract 2197,Los Angeles,Los Angeles County,California,LosAngeles,786.0,85.0,931.0,62.0,1642.0,351.0
2013,6037219800,Census Tract 2198,Los Angeles,Los Angeles County,California,LosAngeles,731.0,26.0,901.0,64.0,1104.0,101.0
2013,6037219901,Census Tract 2199.01,Los Angeles,Los Angeles County,California,LosAngeles,717.0,113.0,930.0,62.0,1102.0,47.0
2013,6037219902,Census Tract 2199.02,Los Angeles,Los Angeles County,California,LosAngeles,798.0,82.0,942.0,53.0,1276.0,156.0
2013,6037220000,Census Tract 2200,Los Angeles,Los Angeles County,California,LosAngeles,672.0,155.0,862.0,45.0,1082.0,195.0
2013,6037220100,Census Tract 2201,Los Angeles,Los Angeles County,California,LosAngeles,275.0,166.0,755.0,374.0,980.0,77.0
2013,6037221110,Census Tract 2211.10,Los Angeles,Los Angeles County,California,LosAngeles,607.0,124.0,741.0,65.0,946.0,53.0
2013,6037221120,Census Tract 2211.20,Los Angeles,Los Angeles County,California,LosAngeles,708.0,78.0,902.0,56.0,999.0,95.0
2013,6037221210,Census Tract 2212.10,Los Angeles,Los Angeles County,California,LosAngeles,711.0,149.0,906.0,46.0,1021.0,91.0
2013,6037221220,Census Tract 2212.20,Los Angeles,Los Angeles County,California,LosAngeles,610.0,64.0,794.0,73.0,1069.0,98.0
2013,6037221302,Census Tract 2213.02,Los Angeles,Los Angeles County,California,LosAngeles,670.0,83.0,914.0,76.0,1149.0,100.0
2013,6037221303,Census Tract 2213.03,Los Angeles,Los Angeles County,California,LosAngeles,677.0,58.0,832.0,50.0,1093.0,115.0
2013,6037221304,Census Tract 2213.04,Los Angeles,Los Angeles County,California,LosAngeles,723.0,104.0,962.0,53.0,1168.0,61.0
2013,6037221401,Census Tract 2214.01,Los Angeles,Los Angeles County,California,LosAngeles,419.0,228.0,719.0,59.0,1039.0,188.0
2013,6037221402,Census Tract 2214.02,Los Angeles,Los Angeles County,California,LosAngeles,576.0,82.0,932.0,97.0,1183.0,83.0
2013,6037221500,Census Tract 2215,Los Angeles,Los Angeles County,California,LosAngeles,525.0,124.0,768.0,68.0,975.0,63.0
2013,6037221601,Census Tract 2216.01,Los Angeles,Los Angeles County,California,LosAngeles,724.0,30.0,878.0,55.0,994.0,79.0
2013,6037221602,Census Tract 2216.02,Los Angeles,Los Angeles County,California,LosAngeles,590.0,97.0,831.0,73.0,1119.0,84.0
2013,6037221710,Census Tract 2217.10,Los Angeles,Los Angeles County,California,LosAngeles,623.0,119.0,862.0,96.0,1110.0,123.0
2013,6037221810,Census Tract 2218.10,Los Angeles,Los Angeles County,California,LosAngeles,652.0,128.0,936.0,93.0,1293.0,157.0
2013,6037221820,Census Tract 2218.20,Los Angeles,Los Angeles County,California,LosAngeles,1022.0,151.0,1345.0,99.0,1762.0,202.0
