YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M
2014,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,338.0,53.0,380.0,835.0,1151.0,396.0
2014,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,1088.0,86.0,1176.0,464.0,1569.0,769.0
2014,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,772.0,557.0,1530.0,704.0,1951.0,365.0
2014,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,,,,,
2014,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,588.0,640.0,1087.0,403.0,1218.0,1041.0
2014,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,1727.0,528.0,2001.0,,2001.0,
2014,6037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,1601.0,122.0,1862.0,171.0,2001.0,
2014,6037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,1349.0,85.0,1589.0,237.0,2001.0,
2014,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,1652.0,90.0,1914.0,128.0,2001.0,
2014,6037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,1647.0,58.0,1895.0,90.0,2001.0,
2014,6037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,1628.0,146.0,1840.0,214.0,2001.0,
2014,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,1088.0,86.0,1176.0,464.0,1569.0,769.0
2014,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,1608.0,76.0,1761.0,80.0,1914.0,133.0
2014,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,545.0,1635.0,1479.0,775.0,1979.0,665.0
2014,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,588.0,640.0,1087.0,403.0,1218.0,1041.0
2014,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,970.0,106.0,1232.0,81.0,1494.0,112.0
2014,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,982.0,52.0,1164.0,54.0,1401.0,89.0
2014,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,949.0,31.0,1145.0,72.0,1408.0,70.0
2014,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1020.0,114.0,1201.0,78.0,1478.0,183.0
2014,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,1079.0,77.0,1353.0,119.0,1788.0,165.0
2014,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,1112.0,44.0,1330.0,63.0,1646.0,131.0
2014,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,741.0,127.0,1073.0,298.0,1393.0,136.0
