YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25059_001E,B25059_001M
2021,06037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,2319,110
2021,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,1823,274
2021,06037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,3501,
2021,06037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,1899,916
2021,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,3501,
2021,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,2992,1570
2021,06037800333,Census Tract 8003.33,Agoura Hills,Los Angeles County,California,AgouraHills,3099,210
2021,06037800334,Census Tract 8003.34,Agoura Hills,Los Angeles County,California,AgouraHills,3501,
2021,06037800335,Census Tract 8003.35,Agoura Hills,Los Angeles County,California,AgouraHills,3501,
2021,06037800336,Census Tract 8003.36,Agoura Hills,Los Angeles County,California,AgouraHills,,
2021,06037800338,Census Tract 8003.38,Agoura Hills,Los Angeles County,California,AgouraHills,3501,
2021,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,2431,415
2021,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,3345,252
2021,06037910814,Census Tract 9108.14,Agua Dulce,Los Angeles County,California,AguaDulce,3501,
2021,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,1945,129
2021,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1932,106
2021,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,1789,66
2021,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1976,167
2021,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,1802,302
2021,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,1853,109
2021,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,1864,75
2021,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,1805,92
2021,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,1689,198
2021,06037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,1739,150
2021,06037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,2048,316
2021,06037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,2150,226
2021,06037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,1997,203
2021,06037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,1927,183
2021,06037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,2007,241
2021,06037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,1697,168
2021,06037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,1822,56
2021,06037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,2325,120
2021,06037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,1983,186
2021,06037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,2030,585
2021,06037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,3501,
2021,06037603706,Census Tract 6037.06,Alondra Park,Los Angeles County,California,AlondraPark,1623,185
2021,06037460101,Census Tract 4601.01,Altadena,Los Angeles County,California,Altadena,2178,378
2021,06037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,1933,448
2021,06037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,2580,474
2021,06037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,2309,690
2021,06037460401,Census Tract 4604.01,Altadena,Los Angeles County,California,Altadena,1924,232
2021,06037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,1806,192
2021,06037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,2135,254
2021,06037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,2772,1075
2021,06037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,2619,305
2021,06037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,2888,1007
2021,06037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,2648,591
2021,06037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,3501,
2021,06037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,2388,662
2021,06037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,1816,51
2021,06037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,2149,261
2021,06037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,2098,256
2021,06037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,1879,149
2021,06037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,2569,1613
2021,06037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,2405,647
2021,06037431300,Census Tract 4313,Arcadia,Los Angeles County,California,Arcadia,1960,131
2021,06037431400,Census Tract 4314,Arcadia,Los Angeles County,California,Arcadia,2580,447
2021,06037431502,Census Tract 4315.02,Arcadia,Los Angeles County,California,Arcadia,2737,150
2021,06037431600,Census Tract 4316,Arcadia,Los Angeles County,California,Arcadia,2766,322
2021,06037431701,Census Tract 4317.01,Arcadia,Los Angeles County,California,Arcadia,2848,1172
2021,06037431800,Census Tract 4318,Arcadia,Los Angeles County,California,Arcadia,1984,272
2021,06037432502,Census Tract 4325.02,Arcadia,Los Angeles County,California,Arcadia,1377,421
2021,06037554801,Census Tract 5548.01,Artesia,Los Angeles County,California,Artesia,1933,414
2021,06037554802,Census Tract 5548.02,Artesia,Los Angeles County,California,Artesia,1933,107
2021,06037554900,Census Tract 5549,Artesia,Los Angeles County,California,Artesia,2352,154
2021,06037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,1846,57
2021,06037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,,
2021,06037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,1652,185
2021,06037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,2444,621
2021,06037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,2548,883
2021,06037980035,Census Tract 9800.35,Avocado Heights,Los Angeles County,California,AvocadoHeights,1135,580
2021,06037400602,Census Tract 4006.02,Azusa,Los Angeles County,California,Azusa,1832,164
