YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25059_001E,B25059_001M
2010,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,,
2010,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,2001,
2010,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,1496,1376
2010,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,
2010,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,956,462
2010,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,2001,
2010,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,2001,
2010,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,2001,
2010,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,2001,
2010,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,2001,
2010,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,2001,
2010,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,2001,
2010,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,1735,443
2010,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,336,683
2010,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,956,462
2010,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,1248,147
2010,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1325,100
2010,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,1182,48
2010,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1650,175
2010,06037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,1866,277
2010,06037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,1448,69
2010,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,1420,147
2010,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,1641,384
2010,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,1482,179
2010,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,1209,71
2010,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,1153,48
2010,06037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,1146,66
2010,06037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,1189,127
2010,06037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,1287,131
2010,06037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,1775,209
2010,06037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,1238,72
2010,06037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,1286,134
2010,06037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,1343,269
2010,06037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,1342,115
2010,06037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,1234,1002
