YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25058_001E,B25058_001M
2017,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,,
2017,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,1222,646
2017,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,,
2017,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,
2017,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,,
2017,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,2088,537
2017,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,2046,275
2017,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,2136,148
2017,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,2040,156
2017,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,1872,87
2017,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,3436,1022
2017,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,1222,646
2017,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,1853,205
2017,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,,
2017,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,,
2017,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,1262,95
2017,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1169,46
2017,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,1146,61
2017,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1340,67
2017,06037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,1423,101
2017,06037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,1501,97
2017,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,1080,237
2017,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,1207,138
2017,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,1254,80
2017,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,1187,55
2017,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,1128,43
2017,06037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,1122,75
2017,06037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,1279,75
2017,06037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,1167,71
2017,06037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,1195,101
2017,06037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,1314,133
2017,06037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,1171,53
2017,06037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,1211,121
2017,06037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,1218,71
2017,06037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,1484,500
2017,06037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,1428,149
2017,06037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,1146,71
2017,06037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,1371,474
2017,06037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,1057,73
2017,06037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,1479,662
2017,06037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,1757,218
2017,06037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,1241,771
2017,06037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,1462,563
2017,06037460900,Census Tract 4609,Altadena,Los Angeles County,California,Altadena,1318,183
2017,06037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,1377,111
2017,06037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,1363,132
2017,06037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,1543,233
2017,06037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,1316,247
2017,06037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,1498,373
2017,06037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,2617,564
2017,06037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,2387,470
2017,06037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,1267,116
2017,06037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,1396,57
2017,06037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,1399,116
2017,06037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,1351,95
2017,06037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,1473,123
2017,06037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,1765,458
2017,06037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,1680,449
2017,06037430902,Census Tract 4309.02,Arcadia,Los Angeles County,California,Arcadia,1453,134
2017,06037431300,Census Tract 4313,Arcadia,Los Angeles County,California,Arcadia,1668,156
2017,06037431400,Census Tract 4314,Arcadia,Los Angeles County,California,Arcadia,1150,85
2017,06037431502,Census Tract 4315.02,Arcadia,Los Angeles County,California,Arcadia,1466,277
2017,06037431600,Census Tract 4316,Arcadia,Los Angeles County,California,Arcadia,974,400
2017,06037431700,Census Tract 4317,Arcadia,Los Angeles County,California,Arcadia,1108,90
2017,06037431800,Census Tract 4318,Arcadia,Los Angeles County,California,Arcadia,1450,128
2017,06037431900,Census Tract 4319,Arcadia,Los Angeles County,California,Arcadia,1241,107
2017,06037432500,Census Tract 4325,Arcadia,Los Angeles County,California,Arcadia,1126,92
2017,06037463101,Census Tract 4631.01,Arcadia,Los Angeles County,California,Arcadia,1576,159
