YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25058_001E,B25058_001M
2024,06037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,2684,99
2024,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,,
2024,06037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,,
2024,06037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,1881,1139
2024,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,3501,
2024,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,3501,
2024,06037800333,Census Tract 8003.33,Agoura Hills,Los Angeles County,California,AgouraHills,3033,241
2024,06037800334,Census Tract 8003.34,Agoura Hills,Los Angeles County,California,AgouraHills,1814,1071
2024,06037800335,Census Tract 8003.35,Agoura Hills,Los Angeles County,California,AgouraHills,2695,142
2024,06037800336,Census Tract 8003.36,Agoura Hills,Los Angeles County,California,AgouraHills,2466,438
2024,06037800338,Census Tract 8003.38,Agoura Hills,Los Angeles County,California,AgouraHills,3501,
2024,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,2375,1560
2024,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,3501,
2024,06037910814,Census Tract 9108.14,Agua Dulce,Los Angeles County,California,AguaDulce,,
2024,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,1903,159
2024,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1860,71
2024,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,1846,105
2024,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,2003,217
2024,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,1594,458
2024,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,1801,155
2024,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,1815,100
2024,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,1705,99
2024,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,1757,109
2024,06037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,1342,208
2024,06037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,1714,139
2024,06037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,1858,176
2024,06037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,2118,314
2024,06037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,1739,193
2024,06037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,1918,147
2024,06037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,1665,122
2024,06037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,1816,82
2024,06037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,1950,964
2024,06037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,1790,196
2024,06037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,1984,292
2024,06037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,2481,466
2024,06037603706,Census Tract 6037.06,Alondra Park,Los Angeles County,California,AlondraPark,1687,78
2024,06037460101,Census Tract 4601.01,Altadena,Los Angeles County,California,Altadena,1972,397
2024,06037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,2210,122
2024,06037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,2625,607
2024,06037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,2601,305
2024,06037460401,Census Tract 4604.01,Altadena,Los Angeles County,California,Altadena,2028,354
2024,06037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,2428,1377
2024,06037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,1964,211
2024,06037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,2409,1266
2024,06037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,1919,819
2024,06037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,2255,719
2024,06037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,1978,645
2024,06037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,2411,297
2024,06037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,1815,134
2024,06037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,1829,240
2024,06037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,2025,148
2024,06037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,2201,67
2024,06037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,2005,299
2024,06037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,1628,378
2024,06037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,2496,607
2024,06037431300,Census Tract 4313,Arcadia,Los Angeles County,California,Arcadia,2174,134
2024,06037431400,Census Tract 4314,Arcadia,Los Angeles County,California,Arcadia,1949,974
2024,06037431502,Census Tract 4315.02,Arcadia,Los Angeles County,California,Arcadia,1969,239
2024,06037431600,Census Tract 4316,Arcadia,Los Angeles County,California,Arcadia,1508,968
2024,06037431701,Census Tract 4317.01,Arcadia,Los Angeles County,California,Arcadia,1898,569
2024,06037431800,Census Tract 4318,Arcadia,Los Angeles County,California,Arcadia,1973,192
2024,06037432502,Census Tract 4325.02,Arcadia,Los Angeles County,California,Arcadia,2104,156
2024,06037554801,Census Tract 5548.01,Artesia,Los Angeles County,California,Artesia,1405,412
2024,06037554802,Census Tract 5548.02,Artesia,Los Angeles County,California,Artesia,1892,158
2024,06037554900,Census Tract 5549,Artesia,Los Angeles County,California,Artesia,2217,123
2024,06037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,1794,306
2024,06037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,2566,1454
2024,06037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,1566,183
2024,06037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,2305,256
2024,06037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,2111,1381
2024,06037980035,Census Tract 9800.35,Avocado Heights,Los Angeles County,California,AvocadoHeights,968,41
2024,06037400602,Census Tract 4006.02,Azusa,Los Angeles County,California,Azusa,1702,106
2024,06037400603,Census Tract 4006.03,Azusa,Los Angeles County,California,Azusa,1713,224
2024,06037400605,Census Tract 4006.05,Azusa,Los Angeles County,California,Azusa,2049,322
2024,06037400801,Census Tract 4008.01,Azusa,Los Angeles County,California,Azusa,2264,639
2024,06037404000,Census Tract 4040,Azusa,Los Angeles County,California,Azusa,2134,158
2024,06037404100,Census Tract 4041,Azusa,Los Angeles County,California,Azusa,1884,184
2024,06037404201,Census Tract 4042.01,Azusa,Los Angeles County,California,Azusa,1570,414
2024,06037404203,Census Tract 4042.03,Azusa,Los Angeles County,California,Azusa,1556,171
2024,06037404301,Census Tract 4043.01,Azusa,Los Angeles County,California,Azusa,1731,53
2024,06037404302,Census Tract 4043.02,Azusa,Los Angeles County,California,Azusa,1946,197
2024,06037404401,Census Tract 4044.01,Azusa,Los Angeles County,California,Azusa,1538,388
2024,06037404402,Census Tract 4044.02,Azusa,Los Angeles County,California,Azusa,2097,580
2024,06037404501,Census Tract 4045.01,Azusa,Los Angeles County,California,Azusa,1746,110
2024,06037404503,Census Tract 4045.03,Azusa,Los Angeles County,California,Azusa,1773,191
