YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25058_001E,B25058_001M
2021,06037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,2139,243
2021,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,1512,330
2021,06037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,,
2021,06037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,,
2021,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,3303,293
2021,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,2672,2500
2021,06037800333,Census Tract 8003.33,Agoura Hills,Los Angeles County,California,AgouraHills,2763,164
2021,06037800334,Census Tract 8003.34,Agoura Hills,Los Angeles County,California,AgouraHills,3501,
2021,06037800335,Census Tract 8003.35,Agoura Hills,Los Angeles County,California,AgouraHills,2458,465
2021,06037800336,Census Tract 8003.36,Agoura Hills,Los Angeles County,California,AgouraHills,,
2021,06037800338,Census Tract 8003.38,Agoura Hills,Los Angeles County,California,AgouraHills,3364,262
2021,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,2083,599
2021,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,3055,1183
2021,06037910814,Census Tract 9108.14,Agua Dulce,Los Angeles County,California,AguaDulce,,
2021,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,1591,117
2021,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1613,100
2021,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,1459,70
2021,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1692,117
2021,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,1344,331
2021,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,1539,177
2021,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,1546,116
2021,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,1497,113
2021,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,1406,43
2021,06037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,1350,225
2021,06037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,1455,103
2021,06037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,1709,121
2021,06037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,1705,139
2021,06037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,1542,238
2021,06037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,1508,194
2021,06037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,1362,116
2021,06037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,1521,94
2021,06037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,2100,244
2021,06037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,1695,132
2021,06037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,1695,167
2021,06037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,2671,1010
2021,06037603706,Census Tract 6037.06,Alondra Park,Los Angeles County,California,AlondraPark,1243,135
2021,06037460101,Census Tract 4601.01,Altadena,Los Angeles County,California,Altadena,1806,503
2021,06037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,1613,276
2021,06037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,1471,847
2021,06037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,1525,468
2021,06037460401,Census Tract 4604.01,Altadena,Los Angeles County,California,Altadena,1717,89
2021,06037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,1447,117
2021,06037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,1711,166
2021,06037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,1887,607
2021,06037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,2023,794
2021,06037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,1919,300
2021,06037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,1736,924
2021,06037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,3501,
2021,06037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,1684,183
2021,06037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,1595,100
2021,06037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,1754,109
2021,06037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,1772,75
2021,06037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,1520,182
2021,06037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,1639,410
2021,06037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,1776,257
2021,06037431300,Census Tract 4313,Arcadia,Los Angeles County,California,Arcadia,1700,140
2021,06037431400,Census Tract 4314,Arcadia,Los Angeles County,California,Arcadia,1293,951
2021,06037431502,Census Tract 4315.02,Arcadia,Los Angeles County,California,Arcadia,1898,300
2021,06037431600,Census Tract 4316,Arcadia,Los Angeles County,California,Arcadia,1982,972
2021,06037431701,Census Tract 4317.01,Arcadia,Los Angeles County,California,Arcadia,1637,805
2021,06037431800,Census Tract 4318,Arcadia,Los Angeles County,California,Arcadia,1724,132
2021,06037432502,Census Tract 4325.02,Arcadia,Los Angeles County,California,Arcadia,1135,123
2021,06037554801,Census Tract 5548.01,Artesia,Los Angeles County,California,Artesia,1487,191
2021,06037554802,Census Tract 5548.02,Artesia,Los Angeles County,California,Artesia,1663,104
2021,06037554900,Census Tract 5549,Artesia,Los Angeles County,California,Artesia,2009,245
2021,06037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,1616,94
2021,06037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,,
2021,06037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,1385,79
2021,06037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,1833,256
2021,06037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,1704,575
2021,06037980035,Census Tract 9800.35,Avocado Heights,Los Angeles County,California,AvocadoHeights,870,98
2021,06037400602,Census Tract 4006.02,Azusa,Los Angeles County,California,Azusa,1446,137
2021,06037400603,Census Tract 4006.03,Azusa,Los Angeles County,California,Azusa,1495,201
2021,06037400605,Census Tract 4006.05,Azusa,Los Angeles County,California,Azusa,1629,149
2021,06037400801,Census Tract 4008.01,Azusa,Los Angeles County,California,Azusa,1865,420
2021,06037404000,Census Tract 4040,Azusa,Los Angeles County,California,Azusa,1676,133
2021,06037404100,Census Tract 4041,Azusa,Los Angeles County,California,Azusa,1603,140
2021,06037404201,Census Tract 4042.01,Azusa,Los Angeles County,California,Azusa,1290,191
2021,06037404203,Census Tract 4042.03,Azusa,Los Angeles County,California,Azusa,1343,118
2021,06037404301,Census Tract 4043.01,Azusa,Los Angeles County,California,Azusa,1430,80
2021,06037404302,Census Tract 4043.02,Azusa,Los Angeles County,California,Azusa,1768,51
2021,06037404401,Census Tract 4044.01,Azusa,Los Angeles County,California,Azusa,1383,135
2021,06037404402,Census Tract 4044.02,Azusa,Los Angeles County,California,Azusa,1755,330
2021,06037404501,Census Tract 4045.01,Azusa,Los Angeles County,California,Azusa,1506,176
2021,06037404503,Census Tract 4045.03,Azusa,Los Angeles County,California,Azusa,1654,158
2021,06037404504,Census Tract 4045.04,Azusa,Los Angeles County,California,Azusa,1410,66
2021,06037404701,Census Tract 4047.01,Baldwin Park,Los Angeles County,California,BaldwinPark,1640,285
2021,06037404702,Census Tract 4047.02,Baldwin Park,Los Angeles County,California,BaldwinPark,1610,136
2021,06037404703,Census Tract 4047.03,Baldwin Park,Los Angeles County,California,BaldwinPark,1415,99
2021,06037404804,Census Tract 4048.04,Baldwin Park,Los Angeles County,California,BaldwinPark,1455,159
2021,06037404805,Census Tract 4048.05,Baldwin Park,Los Angeles County,California,BaldwinPark,1336,87
2021,06037404806,Census Tract 4048.06,Baldwin Park,Los Angeles County,California,BaldwinPark,1485,94
2021,06037404901,Census Tract 4049.01,Baldwin Park,Los Angeles County,California,BaldwinPark,1433,142
2021,06037404902,Census Tract 4049.02,Baldwin Park,Los Angeles County,California,BaldwinPark,1598,195
2021,06037404903,Census Tract 4049.03,Baldwin Park,Los Angeles County,California,BaldwinPark,1463,169
2021,06037405001,Census Tract 4050.01,Baldwin Park,Los Angeles County,California,BaldwinPark,1509,345
2021,06037405002,Census Tract 4050.02,Baldwin Park,Los Angeles County,California,BaldwinPark,1386,32
2021,06037405101,Census Tract 4051.01,Baldwin Park,Los Angeles County,California,BaldwinPark,1470,174
2021,06037405102,Census Tract 4051.02,Baldwin Park,Los Angeles County,California,BaldwinPark,1606,123
2021,06037405201,Census Tract 4052.01,Baldwin Park,Los Angeles County,California,BaldwinPark,1566,158
2021,06037405202,Census Tract 4052.02,Baldwin Park,Los Angeles County,California,BaldwinPark,1320,130
2021,06037405203,Census Tract 4052.03,Baldwin Park,Los Angeles County,California,BaldwinPark,1803,142
2021,06037406903,Census Tract 4069.03,Baldwin Park,Los Angeles County,California,BaldwinPark,1199,471
2021,06037407001,Census Tract 4070.01,Baldwin Park,Los Angeles County,California,BaldwinPark,1767,130
2021,06037407002,Census Tract 4070.02,Baldwin Park,Los Angeles County,California,BaldwinPark,1650,306
2021,06037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,755,94
2021,06037533601,Census Tract 5336.01,Bell,Los Angeles County,California,Bell,1286,104
2021,06037533602,Census Tract 5336.02,Bell,Los Angeles County,California,Bell,1145,61
2021,06037533603,Census Tract 5336.03,Bell,Los Angeles County,California,Bell,1094,87
2021,06037533803,Census Tract 5338.03,Bell,Los Angeles County,California,Bell,1321,66
2021,06037533804,Census Tract 5338.04,Bell,Los Angeles County,California,Bell,1148,80
2021,06037533805,Census Tract 5338.05,Bell,Los Angeles County,California,Bell,1233,155
2021,06037533806,Census Tract 5338.06,Bell,Los Angeles County,California,Bell,1299,136
2021,06037553100,Census Tract 5531,Bellflower,Los Angeles County,California,Bellflower,1818,76
2021,06037553201,Census Tract 5532.01,Bellflower,Los Angeles County,California,Bellflower,1488,205
2021,06037553202,Census Tract 5532.02,Bellflower,Los Angeles County,California,Bellflower,1578,579
2021,06037553300,Census Tract 5533,Bellflower,Los Angeles County,California,Bellflower,763,259
2021,06037554001,Census Tract 5540.01,Bellflower,Los Angeles County,California,Bellflower,1368,61
2021,06037554002,Census Tract 5540.02,Bellflower,Los Angeles County,California,Bellflower,1328,68
2021,06037554101,Census Tract 5541.01,Bellflower,Los Angeles County,California,Bellflower,1363,112
2021,06037554105,Census Tract 5541.05,Bellflower,Los Angeles County,California,Bellflower,1496,88
2021,06037554106,Census Tract 5541.06,Bellflower,Los Angeles County,California,Bellflower,1399,105
2021,06037554201,Census Tract 5542.01,Bellflower,Los Angeles County,California,Bellflower,1619,194
2021,06037554203,Census Tract 5542.03,Bellflower,Los Angeles County,California,Bellflower,1133,79
2021,06037554204,Census Tract 5542.04,Bellflower,Los Angeles County,California,Bellflower,1325,72
2021,06037554301,Census Tract 5543.01,Bellflower,Los Angeles County,California,Bellflower,1663,91
2021,06037554302,Census Tract 5543.02,Bellflower,Los Angeles County,California,Bellflower,1441,120
2021,06037554403,Census Tract 5544.03,Bellflower,Los Angeles County,California,Bellflower,1551,96
2021,06037554404,Census Tract 5544.04,Bellflower,Los Angeles County,California,Bellflower,1464,148
2021,06037554405,Census Tract 5544.05,Bellflower,Los Angeles County,California,Bellflower,1397,179
2021,06037554406,Census Tract 5544.06,Bellflower,Los Angeles County,California,Bellflower,1604,130
2021,06037533901,Census Tract 5339.01,Bell Gardens,Los Angeles County,California,BellGardens,1247,87
2021,06037533902,Census Tract 5339.02,Bell Gardens,Los Angeles County,California,BellGardens,1434,102
2021,06037534001,Census Tract 5340.01,Bell Gardens,Los Angeles County,California,BellGardens,1282,114
2021,06037534002,Census Tract 5340.02,Bell Gardens,Los Angeles County,California,BellGardens,1425,80
2021,06037534101,Census Tract 5341.01,Bell Gardens,Los Angeles County,California,BellGardens,1085,381
2021,06037534102,Census Tract 5341.02,Bell Gardens,Los Angeles County,California,BellGardens,1310,91
2021,06037534201,Census Tract 5342.01,Bell Gardens,Los Angeles County,California,BellGardens,1329,54
2021,06037534202,Census Tract 5342.02,Bell Gardens,Los Angeles County,California,BellGardens,1346,84
2021,06037534203,Census Tract 5342.03,Bell Gardens,Los Angeles County,California,BellGardens,1272,117
2021,06037700600,Census Tract 7006,Beverly Hills,Los Angeles County,California,BeverlyHills,3212,167
2021,06037700700,Census Tract 7007,Beverly Hills,Los Angeles County,California,BeverlyHills,3501,
2021,06037700801,Census Tract 7008.01,Beverly Hills,Los Angeles County,California,BeverlyHills,2602,369
2021,06037700802,Census Tract 7008.02,Beverly Hills,Los Angeles County,California,BeverlyHills,2141,152
2021,06037700901,Census Tract 7009.01,Beverly Hills,Los Angeles County,California,BeverlyHills,2373,226
2021,06037700902,Census Tract 7009.02,Beverly Hills,Los Angeles County,California,BeverlyHills,2301,130
2021,06037701000,Census Tract 7010,Beverly Hills,Los Angeles County,California,BeverlyHills,2288,157
2021,06037430200,Census Tract 4302,Bradbury,Los Angeles County,California,Bradbury,3501,
2021,06037310100,Census Tract 3101,Burbank,Los Angeles County,California,Burbank,1963,1567
2021,06037310201,Census Tract 3102.01,Burbank,Los Angeles County,California,Burbank,1909,241
2021,06037310202,Census Tract 3102.02,Burbank,Los Angeles County,California,Burbank,1930,160
2021,06037310300,Census Tract 3103,Burbank,Los Angeles County,California,Burbank,3501,
2021,06037310400,Census Tract 3104,Burbank,Los Angeles County,California,Burbank,1775,253
2021,06037310501,Census Tract 3105.01,Burbank,Los Angeles County,California,Burbank,1408,84
2021,06037310601,Census Tract 3106.01,Burbank,Los Angeles County,California,Burbank,1674,101
2021,06037310602,Census Tract 3106.02,Burbank,Los Angeles County,California,Burbank,1769,161
2021,06037310701,Census Tract 3107.01,Burbank,Los Angeles County,California,Burbank,1088,600
2021,06037310703,Census Tract 3107.03,Burbank,Los Angeles County,California,Burbank,1624,112
2021,06037310704,Census Tract 3107.04,Burbank,Los Angeles County,California,Burbank,1545,129
2021,06037310705,Census Tract 3107.05,Burbank,Los Angeles County,California,Burbank,1788,288
2021,06037310800,Census Tract 3108,Burbank,Los Angeles County,California,Burbank,1318,202
2021,06037310900,Census Tract 3109,Burbank,Los Angeles County,California,Burbank,1706,252
2021,06037311000,Census Tract 3110,Burbank,Los Angeles County,California,Burbank,1833,220
2021,06037311100,Census Tract 3111,Burbank,Los Angeles County,California,Burbank,1463,471
2021,06037311200,Census Tract 3112,Burbank,Los Angeles County,California,Burbank,1817,244
2021,06037311300,Census Tract 3113,Burbank,Los Angeles County,California,Burbank,1790,104
2021,06037311400,Census Tract 3114,Burbank,Los Angeles County,California,Burbank,1920,196
2021,06037311500,Census Tract 3115,Burbank,Los Angeles County,California,Burbank,1871,124
2021,06037311601,Census Tract 3116.01,Burbank,Los Angeles County,California,Burbank,1790,128
2021,06037311602,Census Tract 3116.02,Burbank,Los Angeles County,California,Burbank,2063,211
2021,06037311700,Census Tract 3117,Burbank,Los Angeles County,California,Burbank,1759,106
2021,06037311801,Census Tract 3118.01,Burbank,Los Angeles County,California,Burbank,1467,61
2021,06037311802,Census Tract 3118.02,Burbank,Los Angeles County,California,Burbank,1735,190
2021,06037980001,Census Tract 9800.01,Burbank,Los Angeles County,California,Burbank,,
2021,06037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,2581,2188
2021,06037800103,Census Tract 8001.03,Calabasas,Los Angeles County,California,Calabasas,2813,679
2021,06037800104,Census Tract 8001.04,Calabasas,Los Angeles County,California,Calabasas,3501,
2021,06037800202,Census Tract 8002.02,Calabasas,Los Angeles County,California,Calabasas,3501,
2021,06037800204,Census Tract 8002.04,Calabasas,Los Angeles County,California,Calabasas,2762,244
2021,06037800205,Census Tract 8002.05,Calabasas,Los Angeles County,California,Calabasas,2442,164
2021,06037800328,Census Tract 8003.28,Calabasas,Los Angeles County,California,Calabasas,2672,2500
2021,06037800337,Census Tract 8003.37,Calabasas,Los Angeles County,California,Calabasas,2410,148
2021,06037541003,Census Tract 5410.03,Carson,Los Angeles County,California,Carson,811,91
2021,06037543100,Census Tract 5431,Carson,Los Angeles County,California,Carson,1382,274
2021,06037543304,Census Tract 5433.04,Carson,Los Angeles County,California,Carson,3038,536
2021,06037543306,Census Tract 5433.06,Carson,Los Angeles County,California,Carson,2169,284
2021,06037543321,Census Tract 5433.21,Carson,Los Angeles County,California,Carson,,
2021,06037543322,Census Tract 5433.22,Carson,Los Angeles County,California,Carson,2757,1635
2021,06037543400,Census Tract 5434,Carson,Los Angeles County,California,Carson,1683,125
2021,06037543501,Census Tract 5435.01,Carson,Los Angeles County,California,Carson,1236,119
2021,06037543601,Census Tract 5436.01,Carson,Los Angeles County,California,Carson,1426,178
2021,06037543607,Census Tract 5436.07,Carson,Los Angeles County,California,Carson,1739,1178
2021,06037543701,Census Tract 5437.01,Carson,Los Angeles County,California,Carson,1787,174
2021,06037543703,Census Tract 5437.03,Carson,Los Angeles County,California,Carson,1609,237
2021,06037543704,Census Tract 5437.04,Carson,Los Angeles County,California,Carson,1833,168
2021,06037543705,Census Tract 5437.05,Carson,Los Angeles County,California,Carson,1439,153
2021,06037543801,Census Tract 5438.01,Carson,Los Angeles County,California,Carson,1054,1009
2021,06037543803,Census Tract 5438.03,Carson,Los Angeles County,California,Carson,1047,262
2021,06037543804,Census Tract 5438.04,Carson,Los Angeles County,California,Carson,1564,422
2021,06037543903,Census Tract 5439.03,Carson,Los Angeles County,California,Carson,1827,1286
2021,06037543905,Census Tract 5439.05,Carson,Los Angeles County,California,Carson,1621,151
2021,06037544001,Census Tract 5440.01,Carson,Los Angeles County,California,Carson,1628,407
2021,06037544002,Census Tract 5440.02,Carson,Los Angeles County,California,Carson,1309,298
2021,06037980002,Census Tract 9800.02,Carson,Los Angeles County,California,Carson,,
2021,06037980025,Census Tract 9800.25,Carson,Los Angeles County,California,Carson,2047,270
2021,06037980037,Census Tract 9800.37,Carson,Los Angeles County,California,Carson,,
2021,06037920102,Census Tract 9201.02,Castaic,Los Angeles County,California,Castaic,1312,178
2021,06037920104,Census Tract 9201.04,Castaic,Los Angeles County,California,Castaic,2553,734
2021,06037920116,Census Tract 9201.16,Castaic,Los Angeles County,California,Castaic,2213,220
2021,06037920118,Census Tract 9201.18,Castaic,Los Angeles County,California,Castaic,2643,191
2021,06037920119,Census Tract 9201.19,Castaic,Los Angeles County,California,Castaic,,
2021,06037554511,Census Tract 5545.11,Cerritos,Los Angeles County,California,Cerritos,2692,856
2021,06037554512,Census Tract 5545.12,Cerritos,Los Angeles County,California,Cerritos,2660,126
2021,06037554513,Census Tract 5545.13,Cerritos,Los Angeles County,California,Cerritos,2814,265
2021,06037554514,Census Tract 5545.14,Cerritos,Los Angeles County,California,Cerritos,2164,218
2021,06037554515,Census Tract 5545.15,Cerritos,Los Angeles County,California,Cerritos,2658,218
2021,06037554516,Census Tract 5545.16,Cerritos,Los Angeles County,California,Cerritos,2246,264
2021,06037554517,Census Tract 5545.17,Cerritos,Los Angeles County,California,Cerritos,2018,262
2021,06037554518,Census Tract 5545.18,Cerritos,Los Angeles County,California,Cerritos,2603,961
2021,06037554519,Census Tract 5545.19,Cerritos,Los Angeles County,California,Cerritos,3087,1202
2021,06037554521,Census Tract 5545.21,Cerritos,Los Angeles County,California,Cerritos,1903,119
2021,06037554522,Census Tract 5545.22,Cerritos,Los Angeles County,California,Cerritos,2605,247
2021,06037403702,Census Tract 4037.02,Charter Oak,Los Angeles County,California,CharterOak,1456,571
2021,06037403703,Census Tract 4037.03,Charter Oak,Los Angeles County,California,CharterOak,1860,629
2021,06037403721,Census Tract 4037.21,Charter Oak,Los Angeles County,California,CharterOak,1429,248
2021,06037403801,Census Tract 4038.01,Charter Oak,Los Angeles County,California,CharterOak,1750,140
2021,06037403802,Census Tract 4038.02,Charter Oak,Los Angeles County,California,CharterOak,1675,83
2021,06037400801,Census Tract 4008.01,Citrus,Los Angeles County,California,Citrus,1865,420
2021,06037403801,Census Tract 4038.01,Citrus,Los Angeles County,California,Citrus,1750,140
2021,06037403901,Census Tract 4039.01,Citrus,Los Angeles County,California,Citrus,2063,206
2021,06037404000,Census Tract 4040,Citrus,Los Angeles County,California,Citrus,1676,133
2021,06037404100,Census Tract 4041,Citrus,Los Angeles County,California,Citrus,1603,140
2021,06037404201,Census Tract 4042.01,Citrus,Los Angeles County,California,Citrus,1290,191
2021,06037404203,Census Tract 4042.03,Citrus,Los Angeles County,California,Citrus,1343,118
2021,06037405900,Census Tract 4059,Citrus,Los Angeles County,California,Citrus,1521,219
2021,06037400205,Census Tract 4002.05,Claremont,Los Angeles County,California,Claremont,3501,
2021,06037400206,Census Tract 4002.06,Claremont,Los Angeles County,California,Claremont,3027,521
2021,06037400209,Census Tract 4002.09,Claremont,Los Angeles County,California,Claremont,,
2021,06037401705,Census Tract 4017.05,Claremont,Los Angeles County,California,Claremont,1914,1071
2021,06037401801,Census Tract 4018.01,Claremont,Los Angeles County,California,Claremont,1913,220
2021,06037401802,Census Tract 4018.02,Claremont,Los Angeles County,California,Claremont,1893,607
2021,06037401901,Census Tract 4019.01,Claremont,Los Angeles County,California,Claremont,1415,306
2021,06037401902,Census Tract 4019.02,Claremont,Los Angeles County,California,Claremont,1490,211
2021,06037402001,Census Tract 4020.01,Claremont,Los Angeles County,California,Claremont,1733,153
2021,06037402002,Census Tract 4020.02,Claremont,Los Angeles County,California,Claremont,1632,147
2021,06037531302,Census Tract 5313.02,Commerce,Los Angeles County,California,Commerce,1167,135
2021,06037532302,Census Tract 5323.02,Commerce,Los Angeles County,California,Commerce,1217,186
2021,06037532303,Census Tract 5323.03,Commerce,Los Angeles County,California,Commerce,1092,82
2021,06037532304,Census Tract 5323.04,Commerce,Los Angeles County,California,Commerce,755,94
2021,06037541100,Census Tract 5411,Compton,Los Angeles County,California,Compton,880,172
2021,06037541200,Census Tract 5412,Compton,Los Angeles County,California,Compton,1654,143
2021,06037541300,Census Tract 5413,Compton,Los Angeles County,California,Compton,1356,147
2021,06037541603,Census Tract 5416.03,Compton,Los Angeles County,California,Compton,1029,204
2021,06037541604,Census Tract 5416.04,Compton,Los Angeles County,California,Compton,1167,156
2021,06037541605,Census Tract 5416.05,Compton,Los Angeles County,California,Compton,1270,177
2021,06037541606,Census Tract 5416.06,Compton,Los Angeles County,California,Compton,1110,101
2021,06037541801,Census Tract 5418.01,Compton,Los Angeles County,California,Compton,1360,139
2021,06037541802,Census Tract 5418.02,Compton,Los Angeles County,California,Compton,1282,191
2021,06037542000,Census Tract 5420,Compton,Los Angeles County,California,Compton,1526,223
2021,06037542103,Census Tract 5421.03,Compton,Los Angeles County,California,Compton,1244,107
2021,06037542104,Census Tract 5421.04,Compton,Los Angeles County,California,Compton,1248,184
2021,06037542105,Census Tract 5421.05,Compton,Los Angeles County,California,Compton,1379,100
2021,06037542106,Census Tract 5421.06,Compton,Los Angeles County,California,Compton,986,78
2021,06037542200,Census Tract 5422,Compton,Los Angeles County,California,Compton,1270,180
2021,06037542401,Census Tract 5424.01,Compton,Los Angeles County,California,Compton,1412,345
2021,06037542402,Census Tract 5424.02,Compton,Los Angeles County,California,Compton,1526,386
2021,06037542501,Census Tract 5425.01,Compton,Los Angeles County,California,Compton,865,162
2021,06037542502,Census Tract 5425.02,Compton,Los Angeles County,California,Compton,1169,65
2021,06037542601,Census Tract 5426.01,Compton,Los Angeles County,California,Compton,1028,138
2021,06037542602,Census Tract 5426.02,Compton,Los Angeles County,California,Compton,1056,85
2021,06037542700,Census Tract 5427,Compton,Los Angeles County,California,Compton,1235,223
2021,06037542800,Census Tract 5428,Compton,Los Angeles County,California,Compton,1425,330
2021,06037542900,Census Tract 5429,Compton,Los Angeles County,California,Compton,1076,95
2021,06037543000,Census Tract 5430,Compton,Los Angeles County,California,Compton,1275,191
2021,06037543100,Census Tract 5431,Compton,Los Angeles County,California,Compton,1382,274
2021,06037543201,Census Tract 5432.01,Compton,Los Angeles County,California,Compton,1358,114
